Date,Eyinos,Marathonas,Mornos,Yliki,Synolo,Total
1985-06-12,0,23639346,618095000,542597000,1184331346.0,
1986-06-12,0,30491820,539820000,483100000,1053411820.0,
1987-06-12,0,29531516,414833000,558907000,1003271516.0,
1988-06-12,0,22845764,361968000,441496000,826309764.0,
1989-06-12,0,31798268,290790000,312900000,635488268.0,
1990-06-12,0,31094658,148447000,87308000,266849658.0,
1991-06-12,0,21778708,249408000,162860000,434046708.0,
1992-06-12,0,24590870,172394000,96240000,293224870.0,
1993-06-12,0,28878215,134260000,25170000,188308215.0,
1994-06-12,0,25354452,221680000,98320000,345354452.0,
1995-06-12,0,22493400,384864000,123090000,530447400.0,
1996-06-12,0,21435535,573715000,230310000,825460535.0,
1997-06-12,0,21759542,666584000,315876000,1004219542.0,
1998-06-12,0,22298970,652247000,353738000,1028283970.0,
1999-06-12,0,28855824,699760000,480175000,1208790824.0,
2000-06-12,0,21151720,614480000,406312000,1041943720.0,
2001-06-12,0,26857791,317149000,257470000,601476791.0,
2002-06-12,71677318,27529740,271288000,279212000,649707058.0,
2003-06-12,23705881,25983538,638925000,570091000,1258705419.0,
2004-06-12,60424584,27355472,651185000,554480000,1293445056.0,
2005-06-12,84329409,22318413,677845000,499340000,1283832822.0,
2006-06-12,101356128,24631794,703000000,540270000,1369257922.0,
2007-06-12,77000608,29282760,447925000,485800000,1040008368.0,
2009-06-12,51326000,25542000,521334000,250160000,848362000.0,
2010-06-12,90938000,22591000,673907000,309956000,1097392000.0,
2011-06-12,69052000,21227000,653486000,444464000,1188229000.0,
2012-06-12,74361000,29850000,629340000,479500000,1213051000.0,
2013-06-12,102145000,25815000,705167000,511371000,1344351000.0,
2014-06-12,70438000,27661000,665522000,465949000,1229570000.0,
2015-06-12,107559000,29103000,698320000,527160000,1362142000.0,
2016-06-12,96675000,29238000,671782000,465949000,1263644000.0,
2017-06-12,80990000,28122000,607177000,409725000,1126014000.0,
2018-06-12,79310000,27269000,678465000,411570000,1196614000.0,
2019-06-12,112959000,27836000,672636000,552616000,1366047000.0,
2020-06-12,86665000,28454000,556121000,549820000,1221060000.0,
2021-06-12,92114000,27683000,613170000,519110000,1252077000.0,
2022-06-12,89442000,28100000,685538000,495935000,1299015000.0,
2023-06-12,48228000,27661000,607824000,397357000,1081070000.0,
2024-06-12,54547000,26686000,430251000,330942000,842426000.0,
2025-06-12,44181000,24796000,287868000,235320000,593814000.0,
2026-06-12,43175000,24062000,505731000,179060000,,752028000.0
